fid,class,natura_cod,status,area,region
80918,forest,,,7340.52779,Harju
80937,forest,,,36574.9557,Harju
80957,forest,,,1647.7549,Harju
80959,forest,,,4644.09351,Harju
80976,forest,,,1181.79887,Harju
80984,forest,,,1950.27907,Harju
81000,forest,,,17821.6151,Harju
81054,forest,,,20.2036045,Harju
81062,forest,,,31898.3556,Harju
81067,forest,,,14143.0973,Harju
81086,forest,,,1003.4589,Harju
81098,forest,,,394.555835,Harju
81111,forest,,,253.893919,Harju
81117,forest,,,858.910112,Harju
81121,forest,,,18350.9145,Harju
81128,forest,,,3588.41925,Harju
81152,forest,,,6408.0904,Harju
81193,forest,,,502.772455,Harju
81203,forest,,,11.0636993,Harju
81214,forest,,,2075.40729,Harju
81222,forest,,,371.53538,Harju
81240,forest,,,525.775081,Harju
81249,forest,,,2268.46668,Harju
81252,forest,,,874.662878,Harju
81264,forest,,,0.00482752,Harju
81270,forest,,,3405.19356,Harju
81285,forest,,,92.0891101,Harju
81287,forest,,,208.148121,Harju
81296,forest,,,39.1850925,Harju
81298,forest,,,50.8878394,Harju
81301,forest,,,8845.89314,Harju
81326,forest,,,7661.18714,Harju
81332,forest,,,4761.72367,Harju
81351,forest,,,203894.832,Harju
81407,forest,,,12495.9494,Harju
81455,forest,,,97.9455183,Harju
81475,forest,,,70.8310129,Harju
81478,forest,,,14301.0756,Harju
81482,forest,,,1102.25077,Harju
81502,forest,,,9510.18581,Harju
81509,forest,,,3872.44001,Harju
81512,forest,,,1869.78546,Harju
81530,forest,,,1289.84079,Harju
81546,forest,,,24874.989,Harju
81551,forest,,,8589.63095,Harju
81553,forest,,,1460.54852,Harju
81583,forest,,,871.712407,Harju
81589,forest,,,18095.2556,Harju
81608,forest,,,230813.021,Harju
81636,forest,,,3196.99264,Harju
81639,forest,,,2693.98006,Harju
81641,forest,,,14171.1802,Harju
81655,forest,,,481.21113,Harju
81656,forest,,,7502.23134,Harju
81667,forest,,,7967.94715,Harju
81693,forest,,,2055.79228,Harju
