fid,class,natura_cod,status,area,region
92092,natura2000,9010*,III,15059.9235,Harju
92093,natura2000,9010*,III,13113.3696,Harju
92094,natura2000,9010*,III,8735.29723,Harju
92096,natura2000,9010*,III,5712.83367,Harju
92097,natura2000,9010*,III,4331.60781,Harju
92098,natura2000,9010*,III,3203.90537,Harju
92099,natura2000,9010*,III,1471.97545,Harju
92100,natura2000,9010*,III,57216.4782,Harju
92101,natura2000,9010*,III,44960.0142,Harju
92102,natura2000,9010*,III,40281.8263,Harju
92103,natura2000,9010*,III,38578.6677,Harju
92104,natura2000,9010*,III,32260.9936,Harju
92105,natura2000,9010*,III,30802.5857,Harju
92106,natura2000,9010*,III,28994.8173,Harju
92107,natura2000,9010*,III,28457.5457,Harju
92108,natura2000,9010*,III,23038.3167,Harju
92109,natura2000,9010*,III,21356.7844,Harju
92110,natura2000,9010*,III,21403.72,Harju
92111,natura2000,9010*,III,20332.9112,Harju
92112,natura2000,9010*,III,19576.7147,Harju
92113,natura2000,9010*,III,19203.2446,Harju
92114,natura2000,9010*,III,18855.9663,Harju
92115,natura2000,9010*,III,18713.4368,Harju
92116,natura2000,9010*,III,18351.3284,Harju
92117,natura2000,9010*,III,16621.8342,Harju
92118,natura2000,9010*,III,16499.4635,Harju
92119,natura2000,9010*,III,15754.5352,Harju
92120,natura2000,9010*,III,12445.9723,Harju
92121,natura2000,9010*,III,12225.7186,Harju
92122,natura2000,9010*,III,11900.4604,Harju
92123,natura2000,9010*,III,11244.6472,Harju
92124,natura2000,9010*,III,9240.0044,Harju
92125,natura2000,9010*,III,8609.47254,Harju
92126,natura2000,9010*,III,7474.92383,Harju
92127,natura2000,9010*,III,7054.70059,Harju
92128,natura2000,9010*,III,6620.0489,Harju
92129,natura2000,9010*,III,6382.1455,Harju
92130,natura2000,9010*,III,6072.12802,Harju
92131,natura2000,9010*,III,6054.07573,Harju
92132,natura2000,9010*,III,5944.86194,Harju
92133,natura2000,9010*,III,5742.42908,Harju
92134,natura2000,9010*,III,5578.13738,Harju
92135,natura2000,9010*,III,5479.87603,Harju
92136,natura2000,9010*,III,5292.56529,Harju
92137,natura2000,9010*,III,5042.59993,Harju
92138,natura2000,9010*,III,4690.99746,Harju
92139,natura2000,9010*,III,4075.77607,Harju
92140,natura2000,9010*,III,4029.84248,Harju
92141,natura2000,9010*,III,3809.12696,Harju
92142,natura2000,9010*,III,2638.86344,Harju
92143,natura2000,9010*,III,1840.43033,Harju
92144,natura2000,9010*,III,1412.17678,Harju
92145,natura2000,91D0*,III,58976.4926,Harju
92146,natura2000,91D0*,III,40916.3354,Harju
92147,natura2000,91D0*,III,25792.456,Harju
92148,natura2000,91D0*,III,24949.1858,Harju
92149,natura2000,91D0*,III,19563.6809,Harju
92150,natura2000,91D0*,III,18640.3405,Harju
92151,natura2000,91D0*,III,2213.06425,Harju
92152,natura2000,91D0*,III,8117.38765,Harju
92153,natura2000,91D0*,III,7868.11159,Harju
92154,natura2000,91D0*,III,6702.21716,Harju
92155,natura2000,91D0*,III,6419.21684,Harju
92156,natura2000,91D0*,III,4570.17359,Harju
92157,natura2000,91D0*,III,3768.52796,Harju
92158,natura2000,91D0*,III,3703.72229,Harju
92159,natura2000,9010*,III,90482.5047,Harju
92160,natura2000,9010*,III,74897.4847,Harju
92161,natura2000,9010*,III,41572.691,Harju
92162,natura2000,9010*,III,30262.1219,Harju
92163,natura2000,9010*,III,18819.199,Harju
92164,natura2000,9010*,III,16002.853,Harju
92165,natura2000,9010*,III,16454.8275,Harju
92166,natura2000,9010*,III,14043.5198,Harju
92167,natura2000,9010*,III,12736.5156,Harju
92168,natura2000,9010*,III,12735.9811,Harju
92169,natura2000,9010*,III,11254.6218,Harju
92170,natura2000,9010*,III,9776.28999,Harju
92171,natura2000,9010*,III,9421.50648,Harju
92172,natura2000,9010*,III,8289.73396,Harju
92174,natura2000,9010*,III,7822.41277,Harju
92175,natura2000,9010*,III,7335.4965,Harju
92176,natura2000,9010*,III,6686.50692,Harju
92177,natura2000,9010*,III,6281.74031,Harju
92178,natura2000,9010*,III,6017.73608,Harju
92179,natura2000,9010*,III,5843.83489,Harju
92180,natura2000,9010*,III,1796.3948,Harju
92181,natura2000,9010*,III,1487.50176,Harju
92182,natura2000,9010*,III,11557.367,Harju
92183,natura2000,9010*,III,10287.9764,Harju
92184,natura2000,9010*,III,8566.42369,Harju
92185,natura2000,9010*,III,6925.09689,Harju
92186,natura2000,9010*,III,5880.06489,Harju
92187,natura2000,9010*,III,5165.15471,Harju
92188,natura2000,9010*,III,4963.26863,Harju
92189,natura2000,9010*,III,4911.58511,Harju
92190,natura2000,9010*,III,3673.07613,Harju
92191,natura2000,9010*,III,2975.50901,Harju
92192,natura2000,9010*,III,2884.85069,Harju
92193,natura2000,9010*,III,2289.35992,Harju
92194,natura2000,9010*,III,1864.25427,Harju
92195,natura2000,9010*,III,246486.722,Harju
92196,natura2000,9010*,III,117671.342,Harju
92197,natura2000,9010*,III,80074.367,Harju
92198,natura2000,9010*,III,42385.3145,Harju
92199,natura2000,9010*,III,30705.7564,Harju
92200,natura2000,9010*,III,29597.0784,Harju
92201,natura2000,9010*,III,28793.0575,Harju
92202,natura2000,9010*,III,25404.1696,Harju
92203,natura2000,9010*,III,23832.2097,Harju
92204,natura2000,9010*,III,23527.417,Harju
92205,natura2000,9010*,III,21442.0738,Harju
92206,natura2000,9010*,III,16227.7002,Harju
92207,natura2000,9010*,III,125.950773,Harju
92208,natura2000,9010*,III,15907.5967,Harju
92209,natura2000,9010*,III,15898.9687,Harju
92210,natura2000,9010*,III,15571.3979,Harju
92212,natura2000,9010*,III,13498.6713,Harju
92213,natura2000,9010*,III,11061.6112,Harju
92214,natura2000,9010*,III,10286.0783,Harju
92215,natura2000,9010*,III,9953.18461,Harju
92216,natura2000,9010*,III,9293.23923,Harju
92217,natura2000,9010*,III,6037.60397,Harju
92219,natura2000,9010*,III,6374.54696,Harju
92220,natura2000,9010*,III,4942.10713,Harju
92221,natura2000,9010*,III,4570.37758,Harju
92222,natura2000,9010*,III,3418.94289,Harju
92224,natura2000,9010*,III,2928.78877,Harju
92225,natura2000,9010*,III,138353.173,Harju
92226,natura2000,9010*,III,49777.9795,Harju
92227,natura2000,9010*,III,45137.6836,Harju
92228,natura2000,9010*,III,43544.0938,Harju
